ID;sample_date;total_parasite_load;Ancylostoma egg load;Cystoisospora_oocyst_load;Diphyllobothrium_egg_load;Dipylidium_egg_load;Trichuris_egg_load;Taeniidae_egg_load;Spirurida_egg_load;Mesocestoides_egg_load;other_unidentified_taxa;f-mucin;f-IgA;birthdate;deathdate;Survival_Ad;AFR;Longevity;f-GCM;sample_years;sample_days;Polyparasitism;maternal rank;maternal rank 6m
1;06/03/2010;1750;1475;175;0;100;0;0;0;50;25;130.3740624;480666.1197;08/09/2009;15/12/2016;Yes;4.5;7.3;41.129;0.49041095890411;179;4;0.113169398907104;0.091978021978022
2;14/06/2010;79275;1175;10425;67675;0;0;0;0;0;0;233.4514366;588068.8097;28/10/2009;04/06/2017;Yes;4.5;7.6;37.155;0.627397260273973;229;2;0.171284153005464;0.143005464480874
3;23/02/2010;6100;5700;400;0;0;0;0;0;0;0;115.9240582;594506.3701;28/10/2009;20/10/2021;Yes;4.5;12;36.98;0.323287671232877;118;1;0.171284153005464;0.143005464480874
4;04/07/2010;44575;575;44000;0;0;0;0;0;0;0;429.7608874;204681.6257;30/01/2010;NA;Yes;3.6;NA;52.787;0.424657534246575;155;2;-0.107540983606557;-0.125824175824176
5;20/09/2010;100;100;0;0;0;0;0;0;0;0;214.8965112;16811.43005;19/02/2010;27/11/2014;Yes;NA;4.8;31.108;0.583561643835616;213;1;0.531256830601093;0.518736263736264
6;28/06/2010;12525;12500;0;0;25;0;0;0;0;0;314.9396813;269679.0323;26/03/2010;01/10/2010;No;NA;0.5;158.8;0.257534246575342;94;1;1;1
7;07/07/2010;4825;4575;150;25;0;0;0;0;0;75;126.1952691;1128818.311;05/02/2010;NA;Yes;5.1;NA;67.59;0.416438356164384;152;2;-0.335874316939891;-0.332912087912088
8;25/11/2010;16475;150;25;16300;0;0;0;0;0;0;74.66377833;227502.8213;03/03/2010;30/07/2016;Yes;4.4;6.4;16.717;0.731506849315068;267;2;0.789863387978142;0.786864864864865
9;05/08/2010;6575;6400;150;0;0;25;0;0;0;0;363.5062781;466942.4378;01/03/2010;16/09/2019;Yes;4.1;9.6;50.85;0.43013698630137;157;2;-0.19844262295082;-0.210648648648649
10;21/12/2010;113000;1325;4100;107450;25;0;0;0;100;0;318.0383243;32425.93689;04/04/2010;31/03/2017;Yes;4.6;7;29.851;0.715068493150685;261;4;-0.792404371584699;-0.792010869565217
11;14/11/2010;48200;12500;75;35600;0;0;0;0;25;0;160.7808786;285388.5479;05/05/2010;03/01/2012;No;NA;1.7;2292.929;0.528767123287671;193;4;0.38546511627907;0.388108108108108
12;23/10/2010;25700;20675;4950;0;25;25;25;0;0;0;289.032017;127960.7;30/05/2010;NA;Yes;4;NA;34.288;0.4;146;4;0.329262295081967;0.342162162162162
13;31/03/2011;450;375;0;0;75;0;0;0;0;0;255.8893485;70672.64712;08/09/2010;03/07/2015;Yes;4;4.8;50.696;0.558904109589041;204;1;-0.542677595628415;-0.542967032967033
14;27/01/2011;5050;4750;0;0;0;0;0;0;300;0;185.6776738;3678063.659;07/10/2010;15/12/2016;Yes;4.3;6.2;1290.404;0.306849315068493;112;1;0.682021857923497;0.692841530054645
15;02/06/2011;1675;775;875;25;0;0;0;0;0;0;161.9416027;642869.0649;19/02/2011;24/12/2011;No;NA;0.8;100.529;0.282191780821918;103;2;-0.849178082191781;-0.847197802197802
16;11/11/2011;27675;7450;20200;0;0;0;25;0;0;0;175.2139808;414831.6501;08/07/2011;11/07/2012;No;NA;1;87.886;0.344262295081967;126;2;-0.0436784741144414;-0.0488108108108108
17;08/11/2013;14475;14300;175;0;0;0;0;0;0;0;254.9850265;1811083.431;17/07/2013;NA;Yes;3.1;NA;76.615;0.312328767123288;114;1;-0.103715846994536;-0.159567567567568
18;22/03/2014;6275;325;100;5775;25;0;0;0;50;0;101.3068489;828222.9409;24/09/2013;NA;Yes;3.6;NA;34.455;0.49041095890411;179;4;-0.156693989071038;-0.204065934065934
19;30/01/2015;1250;725;0;475;0;0;0;0;50;0;84.86594427;351739.1197;01/05/2014;16/02/2020;Yes;3.3;5.8;26.77;0.750684931506849;274;2;0.347349726775956;0.32227027027027
20;12/06/2014;9650;9625;0;0;0;0;0;0;25;0;119.3281835;1450437.036;09/02/2014;09/03/2015;No;NA;1.1;39.1;0.336986301369863;123;1;-0.771502732240437;-0.789285714285714
21;02/01/2015;5200;600;25;4525;25;0;0;0;25;0;55.75223648;968972.8067;12/04/2014;NA;Yes;3.9;NA;31.26;0.726027397260274;265;4;0.581857923497268;0.579021739130435
22;13/07/2017;84800;4350;100;78650;0;25;0;1500;175;0;281.940784;441519.0308;09/01/2017;02/01/2018;No;NA;1;42.167;0.506849315068493;185;5;-0.217978142076503;-0.192747252747253
23;05/07/2017;23025;1650;125;21250;0;0;0;0;0;0;215.561911;215771.6038;09/01/2017;NA;Yes;5.4;NA;69.51;0.484931506849315;177;2;-0.217978142076503;-0.192747252747253
24;28/03/2017;4625;4600;25;0;0;0;0;0;0;0;117.6749794;610911.4058;13/01/2017;NA;Yes;5.9;NA;30.866;0.202739726027397;74;1;0.63207650273224;0.593516483516484
25;28/06/2010;2575;575;250;1750;0;0;0;0;0;0;123.2366613;1818630.007;03/04/2010;04/08/2010;No;NA;0.3;43.5;0.235616438356164;86;2;0.101834862385321;0.101834862385321
26;13/08/2010;125;125;0;0;0;0;0;0;0;0;222.7684986;52276.30492;02/05/2010;22/01/2014;Yes;NA;3.7;22.356;0.282191780821918;103;0;0.598060109289618;0.529405405405405
27;19/08/2010;37975;17937.5;19987.5;12.5;0;0;0;0;12.5;25;183.1690093;109837.2165;06/05/2010;16/09/2011;No;NA;1.4;58.197;0.287671232876712;105;4;-0.272431693989071;-0.217891891891892
28;01/09/2010;5825;400;0;5425;0;0;0;0;0;0;163.3235295;59027.04536;29/04/2010;22/11/2010;No;NA;0.6;51.77;0.342465753424658;125;1;-1;-1
29;20/08/2010;141700;31875;75;109725;25;0;0;0;0;0;215.9791252;70084.523;14/06/2010;28/10/2010;No;NA;0.4;56.52;0.183561643835616;67;3;0.348524590163934;0.285923913043478
30;04/02/2011;34125;11525;1400;21200;0;0;0;0;0;0;158.1411816;1242501.232;29/09/2010;02/11/2012;Yes;NA;2.1;64.48;0.350684931506849;128;3;0.906420765027322;0.938846153846154
31;26/01/2011;1000;1000;0;0;0;0;0;0;0;0;124.6264094;195643.2082;01/10/2010;11/06/2014;Yes;NA;3.7;75.795;0.320547945205479;117;0;-0.142950819672131;-0.143661202185792
32;04/07/2011;14273;2923;0;11225;50;50;0;0;25;0;134.5409164;75007.34856;10/01/2011;16/11/2015;Yes;3.8;4.9;57.47;0.479452054794521;175;4;0.066775956284153;0.0190659340659341
33;16/06/2011;28200;2650;0;25525;25;0;0;0;0;0;173.4127132;393490.4806;10/01/2011;01/11/2011;No;NA;0.8;6392;0.43013698630137;157;2;0.066775956284153;0.0190659340659341
34;11/05/2011;2300;2300;0;0;0;0;0;0;0;0;104.5714381;123164.8282;06/01/2011;NA;Yes;3.8;NA;33.946;0.342465753424658;125;1;0.267322404371585;0.214725274725275
35;28/10/2011;1725;25;0;1650;0;0;25;0;25;0;70.65850447;85695.2299;18/02/2011;NA;Yes;2.6;NA;12.755;0.69041095890411;252;3;0.790355191256831;0.821923076923077
36;30/11/2012;275;0;225;0;0;0;0;0;50;0;104.3713063;502315.8725;28/06/2012;06/12/2017;Yes;3.3;5.4;14.125;0.424657534246575;155;2;0.151010928961749;0.235217391304348
37;18/10/2013;1700;1650;50;0;0;0;0;0;0;0;98.89993445;100672.5106;14/05/2013;20/10/2015;Yes;NA;2.4;11.885;0.43013698630137;157;1;-0.252978142076503;-0.262108108108108
38;10/06/2014;900;650;650;0;50;0;0;0;50;0;172.7632243;898389.3263;25/09/2013;26/01/2018;Yes;3.4;4.3;21.99;0.706849315068493;258;3;0.705737704918033;0.695824175824176
39;17/03/2014;600;575;0;0;0;0;0;0;25;0;135.9222905;824722.2015;17/11/2013;NA;Yes;2.9;NA;41.616;0.328767123287671;120;1;0.887595628415301;0.885164835164835
40;16/02/2015;100;0;100;0;0;0;0;0;0;0;126.7458534;4047315.948;29/09/2014;24/07/2015;No;NA;0.8;1677.941;0.383561643835616;140;1;-0.723469945355191;-0.707472527472527
41;16/02/2015;1050;1050;0;0;0;0;0;0;0;0;102.9994251;611703.3037;29/09/2014;06/11/2019;Yes;NA;5.1;83.77;0.383561643835616;140;0;-0.723469945355191;-0.707472527472527
42;10/03/2010;8325;7925;275;125;0;0;0;0;0;0;210.1729628;264456.911;27/01/2010;14/10/2010;No;NA;0.7;48.429;0.115068493150685;42;2;-0.371923076923077;-0.388461538461538
43;17/06/2010;2225;1925;225;0;0;0;0;75;0;0;325.3466141;72987.56996;24/01/2010;26/02/2014;Yes;NA;4.1;53.717;0.394520547945205;144;2;0.185983606557377;0.135274725274725
44;22/02/2011;2525;2525;0;0;0;0;0;0;0;0;94.43104835;16758.43608;30/08/2010;NA;Yes;3.1;NA;39.194;0.482191780821918;176;1;0.968852459016393;0.94
45;14/03/2011;50;50;0;0;0;0;0;0;0;0;32.75247125;419078.5141;03/09/2010;30/06/2011;No;NA;0.8;23.551;0.526027397260274;192;0;-1;-1
46;10/03/2011;1525;1500;0;0;0;0;0;0;0;25;188.006315;278656.0335;13/11/2010;15/07/2017;Yes;4.2;6.7;40.177;0.320547945205479;117;2;0.542103825136612;0.548846153846154
47;18/11/2011;425;150;0;225;0;0;0;0;50;0;76.00756788;54656.37212;18/02/2011;28/05/2016;Yes;4.4;5.3;36.425;0.747945205479452;273;2;0.485546448087432;0.476538461538462
48;03/09/2012;500;25;350;0;25;0;0;0;100;0;70.41139393;341347.8207;29/10/2011;NA;Yes;4.9;NA;30.388;0.846994535519126;310;3;0.151389645776567;0.141684782608696
49;10/11/2012;1975;1600;25;0;0;0;0;25;325;0;96.68705775;276165.7968;11/06/2012;NA;Yes;3.3;NA;23.167;0.416438356164384;152;3;0.667349726775956;0.664347826086957
50;11/09/2012;4900;500;4375;0;25;0;0;0;0;0;190.8297763;1621784.875;05/05/2012;NA;Yes;3.2;NA;68.658;0.353424657534247;129;2;-0.611885245901639;-0.61372972972973
51;13/09/2012;1825;1375;425;0;0;0;0;0;0;25;90.02422109;1362795.142;05/05/2012;10/12/2012;No;NA;0.6;11.36;0.358904109589041;131;2;-1;-1
52;13/09/2012;325;325;0;0;0;0;0;0;0;0;206.5955963;1782652.836;05/05/2012;05/03/2013;No;NA;0.8;39.605;0.358904109589041;131;0;-1;-1
53;25/06/2013;2075;2050;0;0;0;0;0;0;25;0;100.4813678;493780.5915;16/02/2013;18/12/2019;Yes;3.9;6.8;44.71;0.353424657534247;129;1;-0.894644808743169;-0.89
54;25/06/2013;325;250;75;0;0;0;0;0;0;0;105.150746;1025047.738;16/02/2013;25/03/2014;No;NA;1.1;41.1;0.353424657534247;129;1;-0.894644808743169;-0.89
55;17/03/2014;650;525;0;0;0;0;50;0;75;0;125.5897521;495544.4833;10/09/2013;26/11/2016;Yes;NA;3.2;17.68;0.515068493150685;188;2;0.63431693989071;0.641868131868132
56;05/01/2015;4575;1275;575;2300;75;NA;25;125;200;0;96.61835443;479438.3076;28/05/2014;NA;Yes;4;NA;25.48;0.608219178082192;222;6;-0.878852459016393;-0.89
57;06/11/2015;4475;0;0;4450;25;0;0;0;0;0;157.3004308;166549.9334;30/06/2015;14/03/2020;Yes;NA;4.7;62.935;0.352459016393443;129;2;0.739972752043597;0.755978260869565
58;22/10/2015;29000;6275;0;22700;25;0;0;0;0;0;76.69529207;538111.4901;06/07/2015;08/11/2015;No;NA;0.3;31.07;0.295081967213115;108;2;-0.771825613079019;-0.762972972972973
59;04/08/2016;36225;0;0;35850;0;0;0;0;50;325;133.8891216;2512637.04;21/01/2016;21/07/2018;Yes;NA;2.5;42.95;0.53551912568306;196;3;-0.18708446866485;-0.243497267759563
60;12/09/2016;25;0;0;0;25;0;0;0;0;0;88.12304374;690716.618;09/04/2016;18/02/2020;Yes;NA;3.9;60.585;0.427397260273973;156;1;0.336857923497268;0.352391304347826
61;15/11/2016;42250;3500;50;38500;100;0;0;100;0;0;79.24311865;356389.1194;29/05/2016;22/03/2020;Yes;NA;3.8;21.985;0.465753424657534;170;4;0.14879781420765;0.131675675675676
62;20/09/2016;41850;2050;37300;2425;50;0;25;0;0;0;105.2859197;567257.0355;11/06/2016;NA;Yes;5.3;NA;17.04;0.276712328767123;101;4;-0.71603825136612;-0.749239130434783
63;14/10/2016;650;75;175;400;0;0;0;0;0;0;304.0124773;7259642.14;22/07/2016;22/02/2022;Yes;5.2;5.6;337.624;0.23013698630137;84;2;1;1
64;09/10/2016;1075;625;425;0;0;0;25;0;0;0;344.8755762;6499436.461;18/08/2016;06/12/2016;No;NA;0.3;70.635;0.142465753424658;52;2;0.207325581395349;0.207325581395349
65;20/01/2017;6425;0;0;6425;0;0;0;0;0;0;88.5436493;87588.24559;10/08/2016;26/03/2017;No;NA;0.6;30.985;0.446575342465753;163;1;-0.659093567251462;-0.683189189189189
66;19/12/2016;75;75;0;0;0;0;0;0;0;0;34.62475339;90380.01936;10/08/2016;NA;Yes;4.8;NA;11.005;0.358904109589041;131;0;-0.659093567251462;-0.683189189189189
67;03/01/2017;15900;2250;75;13575;0;0;0;0;0;0;78.18194805;296934.2878;02/09/2016;NA;Yes;3.1;NA;43.299;0.336986301369863;123;2;0.689613095238095;0.696978021978022
68;11/11/2016;23125;2675;100;20350;0;0;0;0;0;0;102.9363227;253919.0519;02/09/2016;07/03/2020;Yes;NA;3.5;17.621;0.191780821917808;70;2;0.689613095238095;0.696978021978022
69;02/01/2017;4700;4575;0;0;50;0;25;25;25;0;121.389157;4544810.269;05/09/2016;28/01/2017;No;NA;0.4;155.553;0.326027397260274;119;4;-0.129434523809524;-0.151428571428571
